,Class,params
283,Normal,"(543.24414, array(2180.6216556), 2532.9675, 27.09597845270646, 26.656090123476226)"
284,Abnormal,"(421.0209, array(1026.12632796), 336.37357, 17.589089210465573, 6.185479516322617)"
285,Normal,"(501.2544, array(36678.78937359), 3936.3542, 188.6766933184507, 438.5353930314286)"
286,Normal,"(449.9042, array(18305.27647142), 2732.1057, 189.79856453448042, 297.2223024130777)"
287,Abnormal,"(387.63168, array(1039.78853071), 797.2662, 11.424308076417494, -1.7815933733943439)"
288,Normal,"(439.2827, array(13488.73928911), 4408.033, 87.54321455210464, 190.39784555261934)"
289,Normal,"(358.56268, array(1067.11730398), 634.89514, 8.61785274070413, -1.0572277031581392)"
290,Abnormal,"(446.13187, array(2414.83360336), 745.62994, 23.07525072432722, 6.079634579050727)"
291,Abnormal,"(390.64447, array(9271.14272964), 4418.646, 150.15197727093283, 426.07019289929207)"
292,Normal,"(453.66953, array(9351.92803302), 6145.899, 194.6181747001279, 592.8949162445754)"
293,Abnormal,"(437.97818, array(9031.00361948), 2979.3743, 113.98719171562715, 290.88899228772624)"
294,Normal,"(662.7508, array(3198.14240774), 1379.1754, 32.85922065806511, 39.56901680209698)"
295,Abnormal,"(548.41223, array(2341.2823873), 1479.4526, 36.03152969700568, 52.54345872857582)"
296,Abnormal,"(364.3565, array(546.61375135), 415.35233, 14.29112995610901, 8.360952163986902)"
297,Abnormal,"(436.42334, array(2382.51529402), 962.5317, 29.313470900063983, 7.818998791062189)"
298,Normal,"(347.91483, array(2936.02781751), 2913.83, 84.45514840895007, 170.33791922071933)"
299,Normal,"(309.47067, array(7201.55871679), 1572.2343, 29.183252650484246, 23.2490179576254)"
300,Abnormal,"(305.04877, array(15929.88603406), 10268.098, 153.1380866770483, 349.40028111689475)"
301,Normal,"(1290.2128, array(42022.19562835), 13206.666, 25.755679503284085, 27.81300574283646)"
302,Normal,"(668.54425, array(7903.02142696), 346.40546, 10.859948920612956, 11.435007611997978)"
303,Abnormal,"(267.70657, array(1495.99912248), 518.46356, 30.050883956932832, 1.0179673319148033)"
304,Normal,"(309.09174, array(1475.81847191), 379.45078, 19.182843264491822, 15.379547000049513)"
305,Normal,"(305.43494, array(1035.01160883), 438.45813, 28.81236249706926, 13.473523303015426)"
306,Abnormal,"(356.8315, array(3944.50620659), 483.15778, 124.23142670581203, 330.423383621144)"
307,Normal,"(566.9477, array(3975.92037981), 1664.4661, 40.6743889156068, 43.77460628020421)"
308,Normal,"(380.94675, array(21173.70756867), 5535.455, 108.77417793431592, 225.8969677186506)"
309,Normal,"(516.4455, array(2692.1109175), 2560.715, 17.72243142136727, 15.997084133403884)"
310,Normal,"(633.63574, array(32639.8974032), 4381.2344, 209.3496626387562, 497.89713536616483)"
311,Normal,"(538.4175, array(11209.61813797), 4837.6875, 200.350028124499, 661.6758207169119)"
312,Normal,"(559.94104, array(10125.24868741), 3976.0364, 87.37512545735535, 171.66458706597945)"
313,Abnormal,"(358.01868, array(1527.53021672), 573.4116, 21.046566917722046, 19.493767757719375)"
314,Abnormal,"(431.19962, array(917.44641341), 646.33594, 11.964118835648819, -4.817492244259)"
315,Abnormal,"(356.28638, array(2682.29594473), 1224.506, 53.05085632352416, 90.91741755745342)"
316,Normal,"(382.48795, array(2179.92733087), 556.82214, 24.101099669201567, 40.98790415081034)"
317,Abnormal,"(483.83722, array(1193.04731662), 595.9944, 28.48464525287305, 40.27260299840295)"
318,Abnormal,"(391.76288, array(5449.69158139), 1901.3973, 122.6163359885856, 301.85885684791435)"
319,Abnormal,"(407.9669, array(1310.49484649), 510.6146, 21.672766790641468, 5.809036821667911)"
320,Normal,"(453.30237, array(3699.61006183), 3606.2095, 45.4147406086981, 38.63079561901295)"
